timestamp,elapsed_s,measured_v,current_mA,resistance,std_dev,stage_commanded,stage_effective,stage_changed
2026-05-26T18:26:08.205,6.111732,0.01751757,4.00000000,,,0,0,false
2026-05-26T18:26:08.225,6.131802,0.01751733,4.00000000,,,0,0,false
2026-05-26T18:26:08.245,6.151792,0.01751721,4.00000000,,,0,0,false
2026-05-26T18:26:08.265,6.172110,0.01751781,4.00000000,,,0,0,false
2026-05-26T18:26:08.285,6.191870,0.01751781,4.00000000,,,0,0,false
2026-05-26T18:26:08.305,6.211795,0.01751805,4.00000000,,,0,0,false
2026-05-26T18:26:08.325,6.231749,0.01751816,4.00000000,,,0,0,false
2026-05-26T18:26:08.345,6.251762,0.01751828,4.00000000,,,0,0,false
2026-05-26T18:26:08.365,6.271787,0.01751793,4.00000000,,,0,0,false
2026-05-26T18:26:08.385,6.291780,0.01751805,4.00000000,,,0,0,false
2026-05-26T18:26:08.405,6.311743,0.01751769,4.00000000,4.37946020,0.00000051,1,0,true
2026-05-26T18:26:08.425,6.331878,0.01751793,4.00000000,,,1,0,false
2026-05-26T18:26:09.524,6.351746,0.02092433,8.00000000,2.19761570,0.00045925,2,1,true
2026-05-26T18:26:09.544,7.450662,0.02433097,8.00000000,,,2,1,false
2026-05-26T18:26:10.643,7.470491,0.03103542,12.00000000,1.49514342,0.00202963,3,2,true
2026-05-26T18:26:10.663,8.570098,0.03774023,12.00000000,,,3,2,false
2026-05-26T18:26:11.762,8.589883,0.04764306,20.00000000,0.93975834,0.00502166,3,3,false
2026-05-26T18:26:11.782,9.689169,0.05414081,20.00000000,,,3,3,false
2026-05-26T18:26:11.802,9.709050,0.06063700,20.00000000,,,3,3,false
2026-05-26T18:26:11.822,9.729065,0.06383658,20.00000000,,,3,3,false
2026-05-26T18:26:11.842,9.749039,0.06703509,20.00000000,,,3,3,false
2026-05-26T18:26:11.862,9.769039,0.06703640,20.00000000,,,3,3,false
2026-05-26T18:26:11.882,9.789081,0.06703485,20.00000000,,,3,3,false
2026-05-26T18:26:11.902,9.809048,0.06703497,20.00000000,,,3,3,false
2026-05-26T18:26:11.922,9.829084,0.06703354,20.00000000,,,3,3,false
2026-05-26T18:26:11.942,9.849050,0.06703330,20.00000000,,,3,3,false
2026-05-26T18:26:11.962,9.869034,0.06703199,20.00000000,,,3,3,false
2026-05-26T18:26:11.982,9.889033,0.06703318,20.00000000,,,3,3,false
2026-05-26T18:26:12.002,9.909049,0.06703354,20.00000000,,,3,3,false
2026-05-26T18:26:12.022,9.929048,0.06703521,20.00000000,,,3,3,false
2026-05-26T18:26:12.042,9.949028,0.06703556,20.00000000,,,3,3,false
2026-05-26T18:26:12.062,9.969039,0.06703544,20.00000000,,,3,3,false
2026-05-26T18:26:12.082,9.989007,0.06703473,20.00000000,,,3,3,false
2026-05-26T18:26:12.102,10.008992,0.06703485,20.00000000,,,3,3,false
2026-05-26T18:26:12.122,10.029094,0.06703353,20.00000000,,,3,3,false
2026-05-26T18:26:12.142,10.048983,0.06703461,20.00000000,,,3,3,false
2026-05-26T18:26:12.162,10.069021,0.06703508,20.00000000,,,3,3,false
2026-05-26T18:26:12.182,10.089000,0.06703604,20.00000000,,,3,3,false
2026-05-26T18:26:12.202,10.109026,0.06703604,20.00000000,,,3,3,false
2026-05-26T18:26:12.222,10.129077,0.06703604,20.00000000,,,3,3,false
2026-05-26T18:26:12.242,10.148964,0.06703461,20.00000000,,,3,3,false
2026-05-26T18:26:12.262,10.168982,0.06703425,20.00000000,,,3,3,false
2026-05-26T18:26:12.282,10.188957,0.06703306,20.00000000,,,3,3,false
2026-05-26T18:26:12.302,10.209026,0.06703389,20.00000000,,,3,3,false
2026-05-26T18:26:12.322,10.229009,0.06703425,20.00000000,,,3,3,false
2026-05-26T18:26:12.342,10.248977,0.06703532,20.00000000,,,3,3,false
2026-05-26T18:26:12.362,10.269013,0.06703544,20.00000000,,,3,3,false
2026-05-26T18:26:12.382,10.289028,0.06703544,20.00000000,,,3,3,false
